"district_en","day","case"
"Southern","2020-02-20","3"
"Yau Tsim Mong","2020-02-20","0"
"Sham Shui Po","2020-02-20","0"
"Kowloon City","2020-02-20","0"
"Wong Tai Sin","2020-02-20","2"
"Kwun Tong","2020-02-20","3"
"Kwai Tsing","2020-02-20","3"
"Tsuen Wan","2020-02-20","0"
"Tuen Mun","2020-02-20","3"
"Yuen Long","2020-02-20","1"
"North","2020-02-20","1"
"Tai Po","2020-02-20","0"
"Sha Tin","2020-02-20","2"
"Sai Kung","2020-02-20","2"
"Islands","2020-02-20","0"
"Central & Western","2020-02-21","1"
"Wan Chai","2020-02-21","4"
"Eastern","2020-02-21","5"
"Southern","2020-02-21","3"
"Yau Tsim Mong","2020-02-21","0"
"Sham Shui Po","2020-02-21","0"
"Kowloon City","2020-02-21","0"
"Wong Tai Sin","2020-02-21","2"
"Kwun Tong","2020-02-21","3"
"Kwai Tsing","2020-02-21","3"
"Tsuen Wan","2020-02-21","0"
"Tuen Mun","2020-02-21","3"
"Yuen Long","2020-02-21","1"
"North","2020-02-21","0"
"Tai Po","2020-02-21","0"
"Sha Tin","2020-02-21","1"
"Sai Kung","2020-02-21","2"
"Islands","2020-02-21","0"
"Central & Western","2020-02-22","1"
"Wan Chai","2020-02-22","5"
"Eastern","2020-02-22","5"
"Southern","2020-02-22","3"
"Yau Tsim Mong","2020-02-22","0"
"Sham Shui Po","2020-02-22","0"
"Kowloon City","2020-02-22","0"
"Wong Tai Sin","2020-02-22","2"
"Kwun Tong","2020-02-22","3"
"Kwai Tsing","2020-02-22","3"
"Tsuen Wan","2020-02-22","0"
"Tuen Mun","2020-02-22","3"
"Yuen Long","2020-02-22","1"
"North","2020-02-22","0"
"Tai Po","2020-02-22","0"
"Sha Tin","2020-02-22","1"
"Sai Kung","2020-02-22","2"
"Islands","2020-02-22","0"
"Central & Western","2020-02-23","1"
"Wan Chai","2020-02-23","3"
"Eastern","2020-02-23","7"
"Southern","2020-02-23","3"
"Yau Tsim Mong","2020-02-23","0"
"Sham Shui Po","2020-02-23","0"
"Kowloon City","2020-02-23","0"
"Wong Tai Sin","2020-02-23","1"
"Kwun Tong","2020-02-23","4"
"Kwai Tsing","2020-02-23","3"
